Treat,Rep,HB,AvgHB
0,1,80,160
0,1,75,150
0,1,80,160
0,2,80,160
0,2,71,142
0,2,83,166
0,2,84,168
0,3,84,168
0,3,82,164
0,3,82,164
2.5,4,72,144
2.5,4,74,148
2.5,4,77,154
2.5,5,81,162
2.5,5,80,160
2.5,5,79,158
2.5,6,71,142
2.5,6,75,150
2.5,6,79,158
2.5,6,78,156
6.5,7,73,146
6.5,7,73,146
6.5,7,62,124
6.5,8,72,144
6.5,8,77,154
6.5,8,69,138
6.5,9,80,160
6.5,9,70,140
10,10,70,140
10,10,72,144
10,10,71,142
10,11,75,150
10,11,73,146
10,12,75,150
10,12,73,146
10,12,86,172
14.5,13,72,144
14.5,13,72,144
14.5,13,65,130
14.5,14,78,156
14.5,14,80,160
14.5,15,69,138
14.5,15,70,140
14.5,15,70,140
14.5,15,78,156
21,16,72,144
21,16,68,136
21,16,70,140
21,17,78,156
21,17,72,144
21,17,81,162
21,18,77,154
21,18,65,130
21,18,74,148
29.5,19,51,102
29.5,19,60,120
29.5,19,63,126
29.5,20,66,132
29.5,20,52,104
29.5,20,63,126
29.5,21,69,138
29.5,21,63,126
29.5,21,63,126
29.5,21,67,134
40,22,59,118
40,22,62,124
40,22,59,118
