Treatment1,Treat,Rep,Video,Feeding,Bursts,NoSwimDuration(s),NoSwimP,SwimDuration(s),SwimP,MiddleDuration(s),MiddleP,EdgeDuration(s),EdgeP,SocialDuration(s),SocialP,AloneDuration(s),AloneP,VidMax
1,0,1,1,Post,0,2,2.1,118,97.9,41,34,79,66,39,32,81,68,120
1,0,1,2,Post,2,1,0.8,119,99.2,51,42.6,69,57.4,52,43.5,68,56.5,120
1,0,1,3,Post,0,6,4.9,114,95.1,72,58.5,48,41.5,49,39.8,71,60.2,120
1,0,2,1,Post,1,1,1,119,99,23,19.7,97,80.3,35,29.1,85,70.9,120
1,0,2,2,Post,0,12,10.3,108,89.7,48,39.5,72,60.5,77,63.5,43,36.5,120
1,0,2,3,Post,1,0,0.4,120,99.6,4,3.1,116,96.9,25,20.7,95,79.3,120
1,0,3,1,Post,5,26,21.4,94,78.6,10,8.7,110,91.3,36,29.7,84,70.3,120
1,0,3,2,Post,0,3,2.3,117,97.7,40,33.3,80,66.7,62,51.6,58,48.4,120
1,0,3,3,Post,1,1,1.3,119,98.7,57,47.4,63,52.6,53,43.9,67,56.1,120
3.5,2.5,4,1,Post,3,7,5.9,113,94.1,19,15.7,101,84.3,31,26.2,89,73.8,120
3.5,2.5,4,2,Post,1,3,2.9,117,97.1,44,36.7,76,63.3,66,55.2,54,44.8,120
3.5,2.5,4,3,Post,1,12,10.1,108,89.9,73,60.7,47,39.3,58,48.5,62,51.5,120
3.5,2.5,5,1,Post,0,3,2.3,117,97.7,67,53.6,53,46.4,33,26.4,87,73.6,120
3.5,2.5,5,2,Post,0,1,0.4,119,99.6,2,1.9,118,98.1,29,23.9,91,76.1,120
3.5,2.5,5,3,Post,2,2,1.9,118,98.1,9,7.6,111,92.4,58,48.2,62,51.8,120
3.5,2.5,6,1,Post,0,14,11.8,106,88.2,74,61.5,46,38.5,57,47,63,53,120
3.5,2.5,6,2,Post,0,16,13.4,104,86.6,60,49.7,60,50.3,47,39.4,73,60.6,120
3.5,2.5,6,3,Post,0,16,13.4,104,86.6,50,42.1,70,57.9,85,71.5,35,28.5,120
7.5,6.5,7,1,Post,2,3,2.1,117,97.9,54,44.5,66,55.5,38,31.5,82,68.5,120
7.5,6.5,7,2,Post,0,1,0.8,119,99.2,23,18.5,97,81.5,81,66.6,39,33.4,120
7.5,6.5,7,3,Post,3,4,3.3,116,96.7,52,43,68,57,67,55.9,53,44.1,120
7.5,6.5,8,1,Post,0,1,0.6,119,99.4,11,9.2,109,90.8,76,62.1,44,37.9,120
7.5,6.5,8,2,Post,2,6,5.2,114,94.8,10,8,110,92,58,47.7,62,52.3,120
7.5,6.5,8,3,Post,1,4,3.7,116,96.3,76,63,44,37,43,35.5,77,64.5,120
7.5,6.5,9,1,Post,0,0,0,120,100,9,7.9,111,92.1,50,41.6,70,58.4,120
7.5,6.5,9,2,Post,0,4,3.1,116,96.9,7,5.6,113,94.4,54,44.3,66,55.7,120
7.5,6.5,9,3,Post,0,6,4.8,114,95.2,37,31.1,83,68.9,35,29.1,85,70.9,120
11,10,10,1,Post,3,3,2.4,117,97.6,38,31.4,82,68.6,30,24.4,90,75.6,120
11,10,11,1,Post,4,0,0,120,100,41,34.6,79,65.4,39,32.4,81,67.6,120
11,10,11,2,Post,2,41,34.3,79,65.7,48,40.5,72,59.5,24,19.8,96,80.2,120
11,10,11,3,Post,2,8,6.7,112,93.3,40,32.7,80,67.3,30,24.7,90,75.3,120
11,10,12,1,Post,1,5,3.6,116,96.4,39,31.8,81,68.2,31,24.8,89,75.2,120
11,10,12,2,Post,0,0,0,120,100,3,2.1,117,97.9,32,26.9,88,73.1,120
11,10,12,3,Post,0,5,4.4,115,95.6,10,8.8,110,91.2,12,10.2,108,89.8,120
15.5,14.5,13,1,Post,0,0,0,120,100,1,1.2,119,98.8,27,21.8,93,78.2,120
15.5,14.5,13,2,Post,1,0,0,120,100,53,43.7,67,56.3,31,25.5,89,74.5,120
15.5,14.5,13,3,Post,0,0,0,120,100,31,25.8,89,74.2,56,46.2,64,53.8,120
15.5,14.5,14,1,Post,2,19,15.9,101,84.1,63,53.2,57,46.8,24,20.5,96,79.5,120
15.5,14.5,14,2,Post,2,30,25.2,90,74.8,0,0,120,100,49,41.4,71,58.6,120
15.5,14.5,14,3,Post,0,5,4.4,115,95.6,12,9.8,108,90.2,41,34.6,79,65.4,120
15.5,14.5,15,1,Post,2,0,0.2,120,99.8,5,4.4,115,95.6,36,30.2,84,69.8,120
15.5,14.5,15,2,Post,6,4,3.8,116,96.2,53,44.4,67,55.6,102,85.2,18,14.8,120
15.5,14.5,15,3,Post,0,0,0,120,100,1,0.4,120,99.6,77,63.7,43,36.3,120
22,21,16,1,Post,0,59,48,61,52,39,31.4,81,68.6,123,99.6,-3,0.4,120
22,21,16,2,Post,9,39,32.3,81,67.7,11,9.2,109,90.8,59,49.5,61,50.5,120
22,21,17,1,Post,3,0,0,120,100,6,5.2,114,94.8,48,39.1,72,60.9,120
22,21,17,2,Post,8,7,5.8,113,94.2,45,37.9,75,62.1,37,31.1,83,68.9,120
22,21,17,3,Post,0,16,13.8,104,86.2,53,44.4,67,55.6,37,30.7,83,69.3,120
22,21,18,1,Post,7,24,20.3,96,79.7,17,13.8,103,86.2,56,47.1,64,52.9,120
22,21,18,2,Post,2,12,9.6,108,90.4,29,23.8,91,76.2,44,35.9,76,64.1,120
22,21,18,3,Post,0,2,1.6,118,98.4,36,30.2,84,69.8,40,33.5,80,66.5,120
